movieId,title,genres,description
15,KGF: Chapter 1 (2018),Action|Crime|Drama,"The story of a young boy's rise to power in the gold mining world of Kolar Gold Fields. Set in the 1970s, it follows his journey from being an orphan to becoming the most feared man in the underworld."
16,KGF: Chapter 2 (2022),Action|Crime|Drama,"The epic conclusion of the KGF saga, where Rocky Bhai faces his greatest challenges to protect his empire and fulfill his mother's promise."
17,3 Idiots (2009),Comedy|Drama,"Two friends search for their long-lost college buddy, who is a genius and a prankster. They revisit their college days and discover the value of friendship and following one's passion."
18,Dangal (2016),Biography|Drama|Sports,"Based on the true story of Mahavir Singh Phogat, who trained his daughters to become world-class wrestlers, defying societal norms in rural India."
19,PK (2014),Comedy|Drama|Sci-Fi,"An alien stranded on Earth questions human beliefs and customs, leading to a hilarious and thought-provoking satire on religion and society."
20,Arjun Reddy (2017),Drama|Romance,"A brilliant but self-destructive surgeon spirals into alcoholism and rage after a breakup with his girlfriend. A raw, intense, and controversial love story."
21,The Lunchbox (2013),Drama|Romance,"A mistaken delivery in Mumbai's lunchbox delivery system connects a young housewife to a lonely widower, leading to a unique relationship through notes in the lunchbox."
22,Gangs of Wasseypur (2012),Action|Crime|Drama,"A clash between two families unfolds over three generations in the coal-rich town of Wasseypur, as revenge and power struggles escalate."
23,Barfi! (2012),Comedy|Drama|Romance,"Three friends in 1970s India navigate love, friendship, and life's challenges, with one of them being a deaf-mute young man who spreads joy wherever he goes."
24,Queen (2014),Comedy|Drama,"After her fiancé calls off their wedding, a young woman from Delhi decides to go on her honeymoon alone to Paris and Amsterdam, discovering herself along the way."
25,Andhadhun (2018),Crime|Drama|Thriller,A blind pianist's life takes a dark turn when he becomes embroiled in a series of crimes. A thrilling ride with unexpected twists and turns.
26,Tumbbad (2018),Drama|Fantasy|Horror,"A man searches for hidden treasure in a cursed village, but must confront the monstrous consequences of his greed across generations."
27,Article 15 (2019),Crime|Drama|Thriller,"A police officer in rural India investigates a series of caste-based crimes, confronting deep-rooted prejudice and systemic injustice."
28,Super Deluxe (2019),Crime|Drama|Thriller,"An anthology film with intersecting stories about a transgender woman, a teenage boy, a wife, and a husband returning home, all set in a single night."
29,Eega (2012),Action|Comedy|Fantasy,"A murdered man is reincarnated as a housefly and seeks revenge on his killer, protecting the woman he loves in this innovative and entertaining film."
30,Drishyam (2013),Crime|Drama|Thriller,A simple cable operator uses his wits and movie knowledge to protect his family when his daughter accidentally kills a police officer's son.
31,Dev.D (2009),Drama|Romance,"A modern adaptation of the classic Devdas, following a wealthy man's self-destructive spiral of alcohol, obsession, and lost love in contemporary India."
32,Udaan (2010),Drama,"A teenager is forced to live with his oppressive father after being expelled from school, struggling to pursue his dream of becoming a writer."
33,The Sky Is Pink (2019),Biography|Drama|Romance,"Based on a true story, a couple deals with the loss of their daughter while raising their second child, who has a rare immune deficiency disorder."
34,October (2018),Drama|Romance,"A hotel management student's life changes when a co-worker falls from a balcony, leading him to discover the meaning of love, responsibility, and human connection."
35,Dear Zindagi (2016),Drama,"A young cinematographer seeks advice from an unconventional therapist to overcome her fears and relationship issues, finding healing and self-discovery."
36,Me Before You (2016),Drama|Romance,"A young woman takes a job caring for a wealthy man who is paralyzed from the neck down, and their relationship blossoms into an unexpected love story."
37,La La Land (2016),Comedy|Drama|Music|Romance,"A jazz pianist and an aspiring actress fall in love while pursuing their dreams in Los Angeles, facing the challenges of balancing art and relationships."
38,The Social Network (2010),Biography|Drama,The story of the founding of Facebook and the legal battles that followed.
39,The Wolf of Wall Street (2013),Biography|Comedy|Crime,The true story of Jordan Belfort's rise and fall as a stockbroker.
40,Mad Max: Fury Road (2015),Action|Adventure|Sci-Fi,"In a post-apocalyptic wasteland, a woman rebels against a tyrannical ruler."
41,The Grand Budapest Hotel (2014),Adventure|Comedy|Drama,A writer encounters the owner of an aging European hotel.
42,Dune (2021),Action|Adventure|Drama,A young man with a special destiny must navigate a dangerous desert planet.
