bookId,title,author,genres,description
31,The Fault in Our Stars,John Green,Drama|Romance|Young Adult,"Two teenagers with cancer fall in love and embark on a journey to meet their favorite author, discovering the meaning of life and love in the face of mortality."
32,The Notebook,Nicholas Sparks,Drama|Romance,"A man reads a love story to an elderly woman in a nursing home, revealing a lifetime of passion, sacrifice, and enduring love."
33,The Time Traveler's Wife,Audrey Niffenegger,Romance|Sci-Fi|Drama,"A woman's love for a man who travels through time uncontrollably, leading to a unique and heartbreaking relationship that defies the boundaries of time."
34,The Curious Incident of the Dog in the Night-Time,Mark Haddon,Drama|Mystery,"A fifteen-year-old boy with autism investigates the death of a neighbor's dog, leading him on a journey of discovery about his family and himself."
35,The Secret Life of Bees,Sue Monk Kidd,Drama|Historical,"In 1964 South Carolina, a teenage girl runs away from home and finds refuge with three beekeeping sisters, discovering the healing power of female community and the importance of family."
36,The Help,Kathryn Stockett,Drama|Historical,"An aspiring author during the civil rights movement of the 1960s decides to write a book detailing the African-American maids' point of view on the white families they work for."
37,The Devil Wears Prada,Lauren Weisberger,Comedy|Drama,"A young woman gets a job as an assistant to a demanding fashion magazine editor, navigating the high-stakes world of fashion and discovering who she really is."
38,The Boy in the Striped Pajamas,John Boyne,Drama|Historical,"A young boy in Nazi Germany befriends a Jewish boy on the other side of a concentration camp fence, leading to a tragic and heartbreaking conclusion."
39,The Diary of a Young Girl,Anne Frank,Biography|Historical,"The diary of a young Jewish girl hiding from the Nazis during World War II, revealing her thoughts, fears, and hopes in the face of unimaginable adversity."
40,The Tattooist of Auschwitz,Heather Morris,Historical|Drama,"Based on a true story, a Jewish man is forced to tattoo numbers on prisoners at Auschwitz, and his love for a fellow prisoner gives him the strength to survive."
41,The Nightingale,Kristin Hannah,Historical|Drama,"Two sisters in Nazi-occupied France navigate the horrors of war, each finding their own way to resist and survive, and discovering the resilience of the human spirit."
42,The Alice Network,Kate Quinn,Historical|Drama,"Two women, one a spy in World War I and the other searching for her cousin in World War II, work together to uncover a secret network of female spies."
43,The Rose Code,Kate Quinn,Historical|Drama,"Three women work as codebreakers at Bletchley Park during World War II, and their paths intersect in a web of secrets, betrayal, and danger."
44,The Huntress,Kate Quinn,Historical|Drama,"A Russian war reporter, a British aristocrat, and an American photographer hunt a Nazi war criminal, uncovering a web of secrets and danger."
45,The Diamond Eye,Kate Quinn,Historical|Drama,"Based on a true story, a Russian sniper becomes a war hero, and her story intertwines with that of an American journalist and a British spy."
46,The Giver of Stars,Jojo Moyes,Historical|Drama,"A group of women in 1930s Kentucky deliver books to remote communities, and their lives are transformed by the power of storytelling and friendship."
47,Me Before You,Jojo Moyes,Drama|Romance,"A young woman takes a job caring for a wealthy man who is paralyzed from the neck down, and their relationship blossoms into an unexpected love story."
48,After You,Jojo Moyes,Drama|Romance,"The sequel to Me Before You, following the life of a young woman as she navigates grief, love, and the challenges of moving forward."
49,Still Me,Jojo Moyes,Drama|Romance,"The third book in the Me Before You series, following a young woman as she moves to New York and discovers who she really is."
50,The Last Letter from Your Lover,Jojo Moyes,Drama|Romance,"A journalist discovers letters from a love affair in the 1960s, leading her on a journey to uncover the story of a forbidden love."
51,The Ship of Brides,Jojo Moyes,Drama|Historical,"A group of women travel to Australia to marry soldiers after World War II, and their journey is filled with romance, danger, and secrets."
52,The Peacock Emporium,Jojo Moyes,Drama|Romance,"A young woman returns to her hometown and opens a shop, discovering the secrets of her family's past and finding love along the way."
53,The One Plus One,Jojo Moyes,Drama|Romance,"A single mother struggles to make ends meet while trying to give her children a better life, and her life changes when she meets a wealthy man."
